nombres,cargo,salario,porcentajeDeduccion,edad
Concha Priego Reyes,analista1,5972200,10,39
Purificación Márquez,analista1,5922409,3,23
Omar Costa-Oller,analista2,5109521,17,26
Américo Arregui Rosa,analista2,4366711,20,27
Benjamín Ramos Alberdi,analista2,5869476,17,22
Carmelita Garay Domínguez,analista2,4821689,10,48
Leandro Frías Vargas,analista2,5791532,6,53
Benigna del Córdoba,analista2,3511063,26,49
Ariel Castejón Aguilera,analista2,3563418,21,27
Clarisa Rosalía Balaguer Pons,analista2,3835012,5,41
Flor Diaz-Sala,analista1,3911823,27,38
Leocadia Cabanillas,analista1,5944520,30,32
Valero Isaías Solano Izaguirre,analista1,5386746,27,26
Paca Alemán Aller,analista1,3842234,7,55
Jeremías Galván Larrea,analista1,5706602,22,39
Nicanor Franch Cruz,analista1,4787633,10,23
Azeneth Morell Rubio,analista1,3524166,6,52
Darío del Marco,analista1,5159439,23,26
Alberto Arellano-Sanchez,analista1,4300909,20,49
Lucas Morcillo Laguna,analista1,3613330,11,25
Emilia Zabala Cuéllar,analista1,5334219,15,29
Pepita de Tello,analista1,4130098,0,26
Luna Chaparro Barros,analista1,5128054,8,51
Ceferino Salvà,analista1,4716543,4,36
Micaela Rivero Cerezo,analista1,5241301,10,52
Ainoa Nicolau Villanueva,analista1,3544506,24,47
Antonia Garzón Gracia,analista1,4498305,3,44
Elba Dionisia Salvador Villalonga,analista1,5923020,27,32
Jessica Montesinos Font,analista1,5828010,14,40
Juana Baquero Cuéllar,analista1,5325136,8,45
Bernardita Morcillo,analista1,4760376,9,37
Aurelio Vinicio Carrasco Piña,analista1,4959593,30,30
Haydée Madrigal,analista1,5918457,29,47
Abraham Barreda,analista1,5881839,4,49
Adelaida Lobo Piñol,analista1,4703855,20,41
Pedro Riquelme Collado,analista1,4011942,28,33
Cloe Alcalá,analista1,5886505,26,40
Julia Soria Rius,analista1,4427377,24,24
Pancho Ibañez Romero,analista1,3726764,29,48
Baldomero Prats Otero,analista1,5808556,22,23
Isabel Domingo Alvarado,analista1,4077288,27,46
Emilia Carreño Piñeiro,analista2,5360465,27,43
Ruben Bello Álvaro,analista2,5002069,20,26
Remedios Vega Julián,analista2,4285330,8,43
Ileana Milla Franch,analista2,4030692,25,48
Francisco Jose Torrijos,analista2,5841438,25,29
Cipriano Pont Garzón,analista2,5595026,1,22
Jose Angel Marquez Somoza,analista2,3792730,20,42
Reynaldo Sainz Bejarano,analista2,4879504,24,35
Benigno Viana Lamas,analista2,3545665,15,32
Miguel Ángel Arregui Galiano,analista2,4937056,2,54
Cintia Miralles-Mena,analista2,4114277,10,30
Isidro Vizcaíno,analista2,3785496,23,50
Godofredo Rocamora Aguilera,analista2,5710430,30,30
Begoña Téllez,analista2,5806429,21,27
Matías Busquets Baeza,analista2,3735104,1,32
Hilda Ropero,analista2,5121131,12,28
Angelita Perera Codina,analista2,5987876,14,33
Yaiza Revilla Tejada,analista2,5642427,10,29
Heriberto Arcos Cabrero,analista2,4825167,27,32
Perlita del Acuña,analista2,4500310,26,36
Florencia Carreño Espejo,analista2,4587510,25,46
Federico Díez-Ariza,analista2,4643429,1,30
Ezequiel Reig Lucena,analista2,3853384,25,31
Eligio Barbero Morillo,analista2,5969628,17,22
Sebastián Roda Bosch,analista2,3867909,7,28
Rubén Exposito Cózar,analista2,4063636,7,28
Rosendo Berrocal Roda,analista2,5574005,16,25
Benito Gómez-Pomares,analista2,5222898,26,44
Julián Cánovas Zabala,analista2,4931412,20,27
Severiano Vicens Botella,analista2,5987581,3,35
Vicenta Rubio Ariño,analista2,4270837,1,51
Bartolomé Pozo Armengol,analista2,5055784,19,32
Marisa Julieta Quirós Palomar,analista2,5336011,1,46
Edelmira del Arrieta,analista2,4469485,27,29
Maxi Peiró,analista2,5487923,3,36
Zaida Hoz,analista2,3864297,19,47
Aníbal Millán Guardia,analista1,5632997,25,26
Inocencio Ballester Caro,analista1,5086515,17,29
